XM_026971221.1	LOC105288151
XM_011340597.2	LOC105280250
XM_026969387.1	LOC105280251
XM_011340602.2	LOC105280252
XM_020031982.2	LOC105280253
XM_011340604.2	LOC105280254
XM_011340605.2	LOC105280255
XM_011340608.3	LOC105280256
XM_026973906.1	LOC105280257
XM_026973929.1	LOC105280259
XM_011340622.3	LOC105280260
XM_011340624.3	LOC105280261
XM_011340633.3	LOC105280268
XM_011340629.3	LOC105280264
XM_011340627.3	LOC105280263
XM_011340626.3	LOC105280262
XM_026974888.1	LOC105280269
XM_011340644.3	LOC105280270
XM_026974955.1	LOC105280271
XM_011340668.3	LOC105280272
XM_026975071.1	LOC113563424
XM_011340672.3	LOC105280274
XM_011340679.1	LOC105280276
XM_011340676.3	LOC105280275
XM_011340681.3	LOC105280277
XM_026975065.1	LOC105280279
XM_011340683.3	LOC105280280
XM_011340691.3	LOC105280282
XM_026975223.1	LOC105280281
XM_011340693.2	LOC105280284
XM_011340695.3	LOC105280285
XM_011340705.3	LOC105280286
XM_011340712.3	LOC105280289
XM_011340708.3	LOC105280288
XM_011340707.3	LOC105280287
XM_011340714.3	LOC105280290
XM_011340717.3	LOC105280293
XM_011340716.3	LOC105280292
XM_020032034.2	LOC105280291
XM_026974495.1	LOC105280294
XM_011340724.3	LOC105280295
XM_011340725.3	LOC105280296
XM_011340726.2	LOC105280297
XM_011340728.2	LOC105280298
XM_026968905.1	LOC105280302
XM_011340729.3	LOC105280299
XM_026971447.1	LOC105280478
XM_011340745.2	LOC105280305
XM_011340735.3	LOC105280304
XM_011340746.3	LOC105280306
XM_011340751.1	LOC105280309
XM_011340748.2	LOC105280308
XM_011340747.3	LOC105280307
XM_011340753.2	LOC105280310
XM_011340755.3	LOC105280312
XM_011340754.3	LOC105280311
XM_011340756.2	LOC105280313
XM_011340759.3	LOC105280314
XM_020032001.2	LOC105280315
XM_026970317.1	LOC113562084
XM_026970270.1	LOC105280317
XM_020031990.2	LOC105280319
XM_011340772.3	LOC105280320
XM_011340787.3	LOC105280321
XM_026967852.1	LOC105280324
XM_020031974.2	LOC105280479
XM_011340800.3	LOC105280327
XM_026967771.1	LOC105280326
XM_011340803.3	LOC105280330
XM_011340801.3	LOC105280328
XM_011340804.2	LOC105280331
XM_011340806.3	LOC105280332
XM_011340807.3	LOC105280333
XM_011340814.1	LOC105280338
XM_011340811.3	LOC105280336
XM_011340808.3	LOC105280334
XM_011340815.3	LOC105280339
XM_011340820.3	LOC105280342
XM_011340818.2	LOC105280340
XM_011340831.2	LOC105280344
XM_011340836.3	LOC105280346
XM_026975080.1	LOC113563432
XM_011340837.3	LOC105280347
XM_011340838.3	LOC105280348
XM_026969047.1	LOC105280480
XM_011340840.3	LOC105280349
XM_011340842.3	LOC105280350
XM_011340843.3	LOC105280351
XM_011340844.3	LOC105280352
XM_011340845.3	LOC105280353
XM_011340848.3	LOC105280355
XM_011340846.3	LOC105280354
XM_011340850.3	LOC105280356
XM_011340852.3	LOC105280357
XM_011340859.3	LOC105280361
XM_011340860.3	LOC105280362
XM_011340875.2	LOC105280368
XM_026971086.1	LOC105280367
XM_011340873.3	LOC105280366
XM_011340869.3	LOC105280364
XM_011340864.3	LOC105280363
XM_026973045.1	LOC105280370
XM_011340876.3	LOC105280369
XM_011340882.3	LOC105280374
XM_011340881.3	LOC105280373
XM_026973055.1	LOC113562728
XM_011340886.3	LOC105280376
XM_020031995.2	LOC105280375
XM_011340891.3	LOC105280378
XM_011340889.3	LOC105280377
XM_011340893.3	LOC105280380
XM_011340894.3	LOC105280381
XM_026974167.1	LOC105280382
XM_011340897.2	LOC105280383
XM_011340906.3	LOC105280388
XM_011340905.3	LOC105280387
XM_011340900.3	LOC105280385
XM_011340909.3	LOC105280390
XM_011340907.3	LOC105280389
XM_011340911.3	LOC105280391
XM_026970377.1	LOC105280393
XM_011340919.3	LOC105280396
XM_011340915.3	LOC105280395
XM_011340913.3	LOC105280394
XM_026970337.1	LOC105280397
XM_011340921.3	LOC105280398
XM_026970361.1	LOC105280399
XM_026975083.1	LOC113563435
XM_011340925.3	LOC105280402
XM_011340924.3	LOC105280400
XM_026974503.1	LOC105280482
XM_011341066.3	LOC105280483
XM_011340927.3	LOC105280404
XM_011340929.3	LOC105280405
XM_011340973.3	LOC105280418
XM_026970696.1	LOC105280417
XM_026967993.1	LOC105280415
XM_011340958.3	LOC105280413
XM_011340955.3	LOC105280412
XM_026968480.1	LOC113561681
XM_026974443.1	LOC105280410
XM_011340942.3	LOC105280409
XM_011340937.3	LOC105280407
XM_011340939.3	LOC105280408
XM_011340978.3	LOC105280422
XM_026968516.1	LOC105280420
XM_011340976.3	LOC105280419
XM_011340984.3	LOC105280424
XM_026968126.1	LOC105280484
XM_026975086.1	LOC105280423
XM_026975096.1	LOC105280427
XM_026968360.1	LOC113561647
XM_011340985.3	LOC105280425
XM_011340991.3	LOC105280429
XM_011340992.3	LOC105280430
XM_011340999.3	LOC105280434
XM_026974024.1	LOC105280432
XM_011340993.3	LOC105280431
XM_011341001.3	LOC105280435
XM_011341004.3	LOC105280437
XM_011341003.2	LOC105280436
XM_026968171.1	LOC105280485
XM_026968166.1	LOC109611042
XM_011341008.2	LOC105280441
XM_026968176.1	LOC113561620
XM_011341005.2	LOC105280438
XM_026968155.1	LOC105280443
XM_026968147.1	LOC105280445
XM_011341017.3	LOC105280447
XM_026975300.1	LOC105280449
XM_011341019.3	LOC105280448
XM_011341021.3	LOC105280450
XM_026974345.1	LOC105280451
XM_011341025.3	LOC105280452
XM_011341027.3	LOC105280453
XM_011341029.3	LOC105280454
XM_011341036.3	LOC105280457
XM_011341033.3	LOC105280456
XM_026973991.1	LOC105280459
XM_020032017.2	LOC105280462
XM_011341038.3	LOC105280461
XM_026970880.1	LOC105280466
XM_011341046.3	LOC105280465
XM_011341045.3	LOC105280464
XM_026970812.1	LOC105280463
XM_026970827.1	LOC105280468
XM_011341052.3	LOC105280469
XM_011341056.3	LOC105280472
XM_011341055.2	LOC105280471
XM_011341053.3	LOC105280470
XM_011341057.3	LOC105280473
XM_011341058.3	LOC105280474
XM_011341059.2	LOC105280475
XM_020034143.2	LOC105286871
XM_026975115.1	LOC105286873
XM_026971388.1	LOC105286874
XM_011352106.3	LOC105286855
XM_011352111.3	LOC105286857
XM_011352110.3	LOC105286856
XM_011352112.3	LOC105286858
XM_011352113.3	LOC105286859
XM_026973729.1	LOC105286860
XM_011352119.3	LOC105286863
XM_011352121.3	LOC105286865
XM_011352122.3	LOC105286866
XM_026969352.1	LOC105286875
XM_011352123.3	LOC105286868
XM_026969361.1	LOC105286869
XM_011352125.3	LOC105286870
XM_011350594.3	LOC105285991
XM_011350593.3	LOC105285990
XM_011350591.3	LOC105285989
XM_020033838.2	LOC105285992
XM_026974788.1	LOC109611408
XM_026974781.1	LOC113563308
XM_026974784.1	LOC113563320
XM_026974765.1	LOC105287485
XM_026975146.1	LOC105287119
XM_026975150.1	LOC109611505
XM_026974789.1	LOC113563330
XM_026974792.1	LOC105277924
XM_026974761.1	LOC105287121
XM_026974749.1	LOC105287120
XM_026974751.1	LOC105277917
XM_011336668.3	LOC105277916
XM_011336662.3	LOC105277913
XM_011336656.3	LOC105277911
XM_011336661.3	LOC105277912
XM_011336655.3	LOC105277909
XM_011336653.3	LOC105277908
XM_011336651.3	LOC105277907
XM_011336643.3	LOC105277906
XM_011336633.3	LOC105277903
XM_011336634.3	LOC105277904
XM_011336635.3	LOC105277905
XM_011336631.3	LOC105277902
XM_011336629.3	LOC105277901
XM_011336627.3	LOC105277900
XM_011336609.3	LOC105277899
XM_011336607.3	LOC105277896
XM_011336608.2	LOC105277897
XM_011336605.3	LOC105277895
XM_011336603.3	LOC105277893
XM_026975156.1	LOC105277894
XM_011336596.3	LOC105277892
XM_011336593.3	LOC105277891
XM_020031184.2	LOC105277888
XM_011336574.2	LOC105277887
XM_026972204.1	LOC105277882
XM_011336569.3	LOC105277883
XM_011336570.3	LOC105277885
XM_026972247.1	LOC105277877
XM_026972253.1	LOC105277879
XM_011336564.3	LOC105277876
XM_011336560.3	LOC105277875
XM_011336558.3	LOC105277874
XM_011336556.3	LOC105277872
XM_011336555.3	LOC105277870
XM_011336551.2	LOC105277868
XM_011336552.2	LOC105277869
XM_011336550.3	LOC105277867
XM_026972189.1	LOC105277866
XM_011336544.2	LOC105277863
XM_011336545.3	LOC105277865
XM_011336543.3	LOC105277862
XM_011336542.3	LOC105277861
XM_026969004.1	LOC105277860
XM_020031186.2	LOC105277859
XM_026975189.1	LOC113563532
XM_026975194.1	LOC113563537
XM_011336539.3	LOC105277858
XM_026975587.1	LOC105277857
XM_011336534.3	LOC105277854
XM_011336535.3	LOC105277855
XM_020031173.2	LOC105277856
XM_011336532.2	LOC105277853
XM_011336531.3	LOC105277852
XM_011336530.3	LOC105277851
XM_020031195.2	LOC105277921
XM_011336528.1	LOC105277850
XM_011336527.3	LOC105277849
XM_026968993.1	LOC105277848
XM_011336522.3	LOC105277847
XM_020031187.2	LOC109610871
XM_011336520.3	LOC105277846
XM_020031157.2	LOC105277845
XM_020031179.2	LOC105277843
XM_011336510.3	LOC105277841
XM_011336514.3	LOC105277842
XM_011336505.3	LOC105277839
XM_020031177.2	LOC105277840
XM_026971829.1	LOC105277837
XM_011336503.3	LOC105277838
XM_026971867.1	LOC109610862
XM_026968954.1	LOC105277834
XM_011336496.3	LOC105277835
XM_011336493.3	LOC105277833
XM_011336489.3	LOC105277831
XM_011336488.2	LOC105277829
XM_011336487.3	LOC105277828
XM_026971505.1	LOC113562329
XM_026968649.1	LOC105277825
XM_011336485.2	LOC105277826
XM_011336472.3	LOC105277822
XM_011336473.3	LOC105277823
XM_011336469.3	LOC105277821
XM_011336466.3	LOC105277818
XM_026970526.1	LOC105277816
XM_011336458.3	LOC105277815
XM_011336450.3	LOC105277813
XM_011336452.3	LOC105277814
XM_011336449.3	LOC105277812
XM_011336445.3	LOC105277811
XM_011336441.3	LOC105277809
XM_011336443.3	LOC105277810
XM_026972927.1	LOC105277920
XM_011336437.3	LOC105277806
XM_011336440.3	LOC105277807
XM_020031168.2	LOC105277801
XM_011336429.3	LOC105277803
XM_011336430.3	LOC105277804
XM_011336434.3	LOC105277805
XM_011336425.3	LOC105277799
XM_011336426.2	LOC105277800
XM_011336424.3	LOC105277798
XM_011336417.3	LOC105277796
XM_011336419.3	LOC105277797
XM_026972840.1	LOC105277793
XM_011336414.3	LOC105277792
XM_026968305.1	LOC105277791
XM_011336410.3	LOC105277787
XM_011336408.3	LOC105277786
XM_011336407.3	LOC105277785
XM_011336405.3	LOC105277782
XM_011336399.3	LOC105277781
XM_011336398.2	LOC105277780
XM_026975205.1	LOC113563553
XM_011336397.3	LOC105277779
XM_011336394.3	LOC105277778
XM_026968365.1	LOC105277775
XM_011336390.3	LOC105277776
XM_011336386.2	LOC105277774
XM_011336385.3	LOC105277773
XM_011336384.3	LOC105277772
XM_026975206.1	LOC105277918
XM_026970073.1	LOC113562053
XM_011336382.3	LOC105277771
XM_011351998.3	LOC105286794
XM_011351997.3	LOC105286793
XM_026971813.1	LOC109610665
XM_011351994.3	LOC105286791
XM_026969178.1	LOC113561829
XM_011351979.3	LOC105286782
XM_026972103.1	LOC113562491
XM_011351976.3	LOC105286779
XM_026972065.1	LOC113562478
XM_026972111.1	LOC113562500
XM_026972078.1	LOC105286776
XM_026972670.1	LOC113561375
XM_026972680.1	LOC105286774
XM_026972675.1	LOC113562667
XM_026972626.1	LOC113561415
XM_026972664.1	LOC113562662
XM_011351963.3	LOC105286771
XM_026975219.1	LOC113563560
XM_026975220.1	LOC105286765
XM_026971693.1	LOC105286762
XM_026971704.1	LOC113562359
XM_011351934.3	LOC105286760
XM_011351929.3	LOC105286759
XM_026971700.1	LOC113562356
XM_026971735.1	LOC105286756
XM_026971702.1	LOC113562358
XM_011351915.3	LOC105286755
XM_026969922.1	LOC113562021
XM_026970691.1	LOC113562182
XM_011351900.3	LOC105286743
XM_026975202.1	LOC113563549
XM_026975197.1	LOC113563542
XM_026975203.1	LOC113563550
XM_026970596.1	LOC113562173
XM_026970589.1	LOC113562172
XM_011349698.3	LOC105285469
XM_011349694.3	LOC105285467
XM_011349693.3	LOC105285466
XM_026974444.1	LOC113563155
XM_026975209.1	LOC105285464
XM_020033654.2	LOC105285462
XM_020033645.2	LOC105285461
XM_011349679.3	LOC105285459
XM_011349671.3	LOC105285458
XM_026971483.1	LOC105285457
XM_026971236.1	LOC113562292
XM_026971275.1	LOC113562297
XM_011349666.3	LOC105285452
XM_026970935.1	LOC113562235
XM_011349665.3	LOC105285451
XM_011349661.3	LOC105285449
XM_026971375.1	LOC105285446
XM_026971376.1	LOC113562320
XM_011349647.3	LOC105285441
XM_011349653.2	LOC105285444
XM_026968368.1	LOC113561506
XM_026975212.1	LOC113563556
XM_020033642.2	LOC105285440
XM_026968833.1	LOC105285438
XM_026970042.1	LOC105286739
XM_026970034.1	LOC113562046
XM_026970016.1	LOC105285567
XM_026970021.1	LOC113562034
XM_026970013.1	LOC109611372
XM_026970012.1	LOC113562032
XM_026970025.1	LOC113562039
XM_026975395.1	LOC113563601
XM_026975384.1	LOC113563594
XM_011354182.3	LOC105288143
XM_026975413.1	LOC113563602
XM_011354178.3	LOC105288141
XM_011354156.3	LOC105288137
XM_026972342.1	LOC113562572
XM_026972329.1	LOC113562569
XM_020034479.2	LOC105288131
XM_011354151.3	LOC105288130
XM_011354146.3	LOC105288127
XM_011354148.3	LOC105288129
XM_011354143.3	LOC105288126
XM_020034506.2	LOC109611581
XM_011354142.2	LOC105288125
XM_020034507.1	LOC105288149
XM_011354140.3	LOC105288123
XM_020034471.2	LOC105288122
XM_011354189.1	LOC105288148
XM_011344984.3	LOC105282760
XM_020032801.2	LOC109611212
XM_020032791.1	LOC105282784
XM_011344985.3	LOC105282762
XM_026970457.1	LOC105282786
XM_020032793.2	LOC105282763
XM_011344988.3	LOC105282764
XM_011344989.3	LOC105282765
XM_011344990.3	LOC105282766
XM_011344993.3	LOC105282769
XM_011344991.3	LOC105282767
XM_011344995.1	LOC105282770
XM_011344996.3	LOC105282771
XM_011344999.3	LOC105282772
XM_026972013.1	LOC105282774
XM_011345002.3	LOC105282776
XM_026971987.1	LOC105282775
XM_026972006.1	LOC105282787
XM_011345005.3	LOC105282779
XM_011345004.3	LOC105282778
XM_011345008.2	LOC105282783
XM_026970063.1	LOC105282782
XM_020031840.2	LOC105279985
XM_011340125.3	LOC105279983
XM_026969422.1	LOC105279981
XM_026969429.1	LOC105279979
XM_011340115.2	LOC105279977
XM_011340117.2	LOC105279978
XM_011340114.3	LOC105279976
XM_026975178.1	LOC105279974
XM_011340110.3	LOC105279973
XM_011340108.3	LOC105279972
XM_011340131.3	LOC105279987
XM_011340107.3	LOC105279971
XM_011340103.3	LOC105279969
XM_011340097.3	LOC105279967
XM_011340085.2	LOC105279962
XM_011340095.2	LOC105279966
XM_011340082.3	LOC105279961
XM_026969070.1	LOC113561811
XM_011340081.2	LOC105279957
XM_020031835.2	LOC105279956
XM_011340130.3	LOC105279986
XM_026975362.1	LOC105279954
XM_011340078.3	LOC105279953
XM_026975374.1	LOC105279952
XM_011351820.3	LOC105286692
XM_011351819.3	LOC105286691
XM_011351817.3	LOC105286690
XM_026973116.1	LOC105286693
XM_026973107.1	LOC105286696
XM_011351830.3	LOC105286698
XM_011351831.3	LOC105286699
XM_011351835.3	LOC105286702
XM_026975447.1	LOC105286703
XM_011351839.3	LOC105286704
XM_011351840.3	LOC105286705
XM_020034083.2	LOC105286710
XM_020034082.2	LOC105286707
XM_026969087.1	LOC105286711
XM_026975312.1	LOC105286713
XM_011351851.3	LOC105286712
XM_026975332.1	LOC105286715
XM_011351860.3	LOC105286717
XM_026968587.1	LOC105286716
XM_011351861.3	LOC105286718
XM_011351862.3	LOC105286719
XM_011351864.1	LOC105286720
XM_011351865.3	LOC105286721
XM_011351868.3	LOC105286722
XM_011351869.2	LOC105286723
XM_011351873.3	LOC105286724
XM_020034084.2	LOC105286727
XM_011351876.3	LOC105286726
XM_011351880.3	LOC105286728
XM_011351882.3	LOC105286731
XM_011351881.3	LOC105286729
XM_011351891.3	LOC105286735
XM_011351890.3	LOC105286734
XM_011351889.3	LOC105286733
XM_026972313.1	LOC105286732
XM_011351895.3	LOC105286737
XM_011348584.3	LOC105284799
XM_011348579.3	LOC105284797
XM_011348583.3	LOC105284798
XM_011348577.3	LOC105284796
XM_026975226.1	LOC113563564
XM_011348573.2	LOC105284792
XM_026968425.1	LOC105284788
XM_011348570.3	LOC105284791
XM_026968450.1	LOC105284786
XM_011348552.2	LOC105284785
XM_011348551.3	LOC105284784
XM_011348548.3	LOC105284781
XM_026968853.1	LOC105284780
XM_011348546.3	LOC105284779
XM_011348544.3	LOC105284778
XM_026968838.1	LOC105284800
XM_026974668.1	LOC105284775
XM_011348543.3	LOC105284777
XM_011348531.3	LOC105284772
XM_011348538.2	LOC105284774
XM_026974710.1	LOC105284773
XM_026975227.1	LOC105284771
XM_011348524.3	LOC105284769
XM_011348523.3	LOC105284768
XM_011348522.3	LOC105284767
XM_011348521.3	LOC105284766
XM_011348518.3	LOC105284764
XM_011348520.3	LOC105284765
XM_011348508.3	LOC105284761
XM_011348515.3	LOC105284763
XM_011348504.3	LOC105284759
XM_011348507.3	LOC105284760
XM_011348503.3	LOC105284757
XM_011348502.3	LOC105284756
XM_011348501.3	LOC105284755
XM_020033406.2	LOC105284754
XM_011348496.3	LOC105284753
XM_011348494.3	LOC105284751
XM_011348493.3	LOC105284750
XM_011348488.3	LOC105284749
XM_026971060.1	LOC105284748
XM_011348483.3	LOC105284746
XM_011348485.3	LOC105284747
XM_011348482.2	LOC105284742
XM_026974285.1	LOC105283861
XM_011346970.2	LOC105283862
XM_011346973.3	LOC105283864
XM_011346974.3	LOC105283865
XM_026968290.1	LOC113561634
XM_026968277.1	LOC105283866
XM_011346992.3	LOC105283873
XM_026971921.1	LOC113562444
XM_026970958.1	LOC105283870
XM_026970961.1	LOC113562239
XM_026970653.1	LOC105283241
XM_011345850.2	LOC105283242
XM_026972688.1	LOC105283243
XM_020032943.2	LOC105283232
XM_011345855.2	LOC105283246
XM_026973543.1	LOC105283247
XM_020032941.1	LOC109611240
XM_026968898.1	LOC113561749
XM_011345858.1	LOC105283249
XM_011345835.3	LOC105283233
XM_011345839.3	LOC105283234
XM_011345842.3	LOC105283237
XM_011345840.3	LOC105283235
XM_026974119.1	LOC113563066
XM_026974125.1	LOC113563067
XM_026974124.1	LOC105275117
XM_011331763.3	LOC105275113
XM_011331765.3	LOC105275115
XM_026971568.1	LOC113562333
XM_026972417.1	LOC105275118
XM_026972859.1	LOC105275124
XM_026974220.1	LOC113561446
XM_026974199.1	LOC113563090
XM_011341786.3	LOC105280918
XM_011341785.2	LOC105280917
XM_011341783.3	LOC105280916
XM_011341787.2	LOC105280919
XM_011341789.3	LOC105280922
XM_011341794.3	LOC105280924
XM_026968418.1	LOC113561670
XM_026968406.1	LOC105284622
XM_011348289.2	LOC105284623
XM_011348292.3	LOC105284624
XM_026969075.1	LOC105284633
XM_011348293.2	LOC105284626
XM_011348296.2	LOC105284628
XM_011348300.3	LOC105284629
XM_011348301.3	LOC105284630
XM_026969868.1	LOC105284632
XM_026970942.1	LOC105284634
XM_026973076.1	LOC113562735
XM_026973655.1	LOC113562904
XM_026975309.1	LOC113563583
XM_026972282.1	LOC113562554
XM_026969017.1	LOC113561801
XM_026975577.1	LOC113563653
XM_026967733.1	LOC113561452
XM_026970569.1	LOC113562163
XM_026969450.1	LOC113561894
XM_026969456.1	LOC105279196
XM_026970445.1	LOC105279194
XM_026970454.1	LOC105281922
XM_026973965.1	LOC113562999
XM_026971089.1	LOC113562265
XM_026971366.1	LOC113562315
XM_026969465.1	LOC113561897
XM_026968517.1	LOC105283216
XM_011345812.2	LOC105283217
XM_011353022.2	LOC105287467
XM_020030285.1	LOC109610706
XM_011331730.3	LOC105275079
XM_011331726.3	LOC105275077
XM_011331715.3	LOC105275072
XM_020030292.2	LOC105275075
XM_011331714.2	LOC105275071
XM_011331713.3	LOC105275070
XM_011331711.2	LOC105275069
XM_026971126.1	LOC105275080
XM_026969489.1	LOC113561901
XM_026969492.1	LOC113561906
XM_026969805.1	LOC113561994
XM_026971319.1	LOC105277942
XM_026971362.1	LOC113562313
XM_026969498.1	LOC113561907
XM_026970502.1	LOC113562140
XM_011336697.2	LOC105277944
XM_026969509.1	LOC105276299
XM_026968861.1	LOC105275950
XM_026969512.1	LOC113561909
XM_026969322.1	LOC105276298
XM_011333171.3	LOC105275948
XM_026969820.1	LOC105275946
XM_011333168.3	LOC105275945
XM_011333165.2	LOC105275944
XM_011345859.2	LOC105283251
XM_026969520.1	LOC113561913
XM_011342818.3	LOC105281534
XM_011342823.3	LOC105281536
XM_026973639.1	LOC105281535
XM_011342816.2	LOC105281533
XM_011342813.3	LOC105281532
XM_026973535.1	LOC105281531
XM_026973494.1	LOC105275088
XM_011348652.3	LOC105284849
XM_020033424.2	LOC105284852
XM_011348654.3	LOC105284851
XM_011348653.3	LOC105284850
XM_026973524.1	LOC105284854
XM_011348660.3	LOC105284855
XM_011348662.3	LOC105284856
XM_026973626.1	LOC113562899
XM_011352276.3	LOC105286953
XM_011352275.3	LOC105286952
XM_011352273.2	LOC105286951
XM_011352272.2	LOC105286950
XM_011352277.2	LOC105286954
XM_011352267.3	LOC105286947
XM_011352271.3	LOC105286948
XM_011352266.3	LOC105286946
XM_011352264.3	LOC105286944
XM_020034198.2	LOC109611487
XM_011352265.3	LOC105286945
XM_020034195.2	LOC105286938
XM_011352258.3	LOC105286940
XM_020034194.2	LOC105286942
XM_026973475.1	LOC105286943
XM_011347248.3	LOC105284044
XM_011347245.3	LOC105284043
XM_011347241.3	LOC105284042
XM_011347226.3	LOC105284036
XM_020033183.2	LOC109611283
XM_011347230.3	LOC105284038
XM_026973651.1	LOC105284041
XM_011347233.3	LOC105284040
XM_026973444.1	LOC105285377
XM_011349534.3	LOC105285374
XM_011349530.3	LOC105285373
XM_011349527.2	LOC105285372
XM_020033617.2	LOC105285371
XM_026969531.1	LOC105285370
XM_026969536.1	LOC113561914
XM_026969546.1	LOC113561918
XM_026973399.1	LOC105284104
XM_026969548.1	LOC105284102
XM_011347358.3	LOC105284100
XM_011347357.3	LOC105284099
XM_020033213.2	LOC109611289
XM_020033214.2	LOC109611290
XM_020033211.2	LOC105284106
XM_026969556.1	LOC105284105
XM_026969574.1	LOC113561929
XM_026970060.1	LOC105279127
XM_011338698.3	LOC105279128
XM_026969013.1	LOC105279130
XM_026975276.1	LOC105280980
XM_011341910.2	LOC105281001
XM_011341938.2	LOC105281020
XM_026975279.1	LOC105281091
XM_011342105.3	LOC105281102
XM_011342123.3	LOC105281111
XM_026973173.1	LOC105281146
XM_026973168.1	LOC109611090
XM_026969576.1	LOC105285570
XM_026973746.1	LOC113562939
XM_026973750.1	LOC105282759
XM_020032789.2	LOC105282758
XM_026973753.1	LOC105285569
XM_026973742.1	LOC105281476
XM_011342704.3	LOC105281456
XM_011342709.3	LOC105281461
XM_026968247.1	LOC105281462
XM_026969582.1	LOC105285369
XM_026969417.1	LOC113561876
XM_026968872.1	LOC105280869
XM_011341732.3	LOC105280870
XM_026969231.1	LOC105280868
XM_026973194.1	LOC105280865
XM_011341715.2	LOC105280864
XM_011341698.3	LOC105280860
XM_011341701.3	LOC105280861
XM_020032145.2	LOC105280862
XM_026973340.1	LOC113562830
XM_026973215.1	LOC105283959
XM_011347118.3	LOC105283958
XM_011347111.3	LOC105283957
XM_011347108.2	LOC105283956
XM_011347107.3	LOC105283955
XM_011347104.3	LOC105283954
XM_011347102.3	LOC105283953
XM_020033172.2	LOC105283960
XM_011347124.3	LOC105283961
XM_011347126.3	LOC105283963
XM_026973221.1	LOC105283962
XM_026973227.1	LOC105283964
XM_011347129.3	LOC105283966
XM_026969585.1	LOC105283965
XM_011347130.3	LOC105283967
XM_011347133.2	LOC105283970
XM_011347131.3	LOC105283969
XM_011347135.3	LOC105283971
XM_020033173.2	LOC105283973
XM_026969597.1	LOC113561934
XM_026967987.1	LOC105283974
XM_026969602.1	LOC105287122
XM_026968121.1	LOC105282451
XM_026968107.1	LOC113561599
XM_026968108.1	LOC105274876
XM_011331338.3	LOC105274874
XM_026968127.1	LOC105274871
XM_026969612.1	LOC105275000
XM_020030227.2	LOC105275001
XM_011331348.3	LOC105274884
XM_026968131.1	LOC105274881
XM_026969615.1	LOC109610700
XM_011331346.1	LOC105274880
XM_020030256.2	LOC105275002
XM_011331345.3	LOC105274879
XM_011331343.2	LOC105274877
XM_011331352.3	LOC105274886
XM_011331354.3	LOC105274887
XM_020030253.2	LOC105275004
XM_011331356.3	LOC105274888
XM_011331358.3	LOC105274891
XM_026970009.1	LOC105274890
XM_011331359.3	LOC105274892
XM_011331363.2	LOC105274893
XM_026969978.1	LOC105274894
XM_011331366.3	LOC105274895
